Driver_ID,Distance_Feature,Speeding_Feature
3423311935,71.24,028
3423313212,52.53,025
3423313724,64.54,027
3423311373,55.69,022
3423310999,54.58,025
3423313857,41.91,010
3423312432,58.64,020
3423311434,52.02,008
3423311328,31.25,034
3423312488,44.31,019
3423311254,49.35,040
3423312943,58.07,045
3423312536,44.22,022
3423311542,55.73,019
3423312176,46.63,043
3423314176,52.97,032
3423314202,46.25,035
3423311346,51.55,027
3423310666,57.05,026
3423313527,58.45,030
3423312182,43.42,023
3423313590,55.68,037
3423312268,55.15,018
3423314255,43.84,022
3423311976,59.26,032
3423312669,37.14,041
3423310697,64.3,029
3423312113,45.75,016
3423313343,45.97,023
3423311431,56.04,039
3423310755,33.64,045
3423311821,41.67,033
3423314359,50.68,039
3423313106,54.22,035
3423310754,56.2,029
3423310524,46.16,041
3423311780,50.22,024
3423312156,49.66,033
3423312916,38.61,037
3423310588,55.28,036
3423312995,57.87,041
3423313389,61.69,012
3423311369,37.41,021
3423311408,53.83,032
3423311598,62.98,022
3423312047,46.97,013
3423312322,58.03,024
3423313247,59.87,036
3423310944,81.34,031
3423312404,48.56,026
3423313738,17.66,023
3423311461,46.01,021
3423313866,45.34,026
3423312074,39.64,031
3423312444,51.22,036
3423311834,36.21,031
3423311527,47.32,055
3423310476,54.87,027
3423310548,58.97,006
3423311011,57.3,042
3423310633,59.94,032
3423310595,61.72,025
3423312757,53.19,023
3423313776,35.13,038
3423312067,48.47,020
3423312235,51.17,043
3423310893,42.14,039
3423314121,54.31,035
3423313750,48.93,032
3423312776,53.51,044
3423312927,51.72,024
3423310765,49.86,010
3423311457,49.2,041
3423310678,60.2,039
3423312564,54.06,020
3423313058,72.91,030
3423310803,61.92,040
3423312166,44.2,024
3423312608,60.75,039
3423310646,68.36,037
3423314440,56.39,020
3423312301,38.19,015
3423311400,66.19,027
3423313288,58.2,017
3423314357,47.55,022
3423311015,37.62,016
3423312270,17.81,026
3423313457,31.25,029
3423311768,61,041
3423314289,40.98,033
3423310618,53.69,024
3423311628,51.46,009
3423313173,64.57,029
3423310552,53.79,023
3423314153,64.28,034
3423313814,38.41,024
3423312466,58.89,042
3423314103,44.17,033
3423311257,50.41,043
3423311814,63.63,028
3423311017,45.78,024
3423311127,55.61,020
3423311066,67.23,005
3423313316,49.69,038
3423313648,54.6,030
3423313558,40.94,059
3423313353,43.84,036
3423312285,56.36,019
3423310853,69.53,023
3423313991,51.48,019
3423312791,52.93,041
3423311030,55.52,008
3423310575,52.14,023
3423311959,62.86,021
3423314029,37.53,033
3423313843,63.47,025
3423310628,62.11,033
3423311869,43.52,025
3423312133,47.97,027
3423314085,42.27,037
3423310504,56.05,030
3423311462,62.08,037
3423310974,35.25,053
3423311980,39.81,025
3423312931,60.27,033
3423313867,53.41,022
3423313838,56.28,027
3423312956,53.31,025
3423312985,55.24,030
3423311863,44.97,029
3423313131,40.3,043
3423313166,47.18,042
3423313841,46.4,034
3423312477,35.11,015
3423313132,54.33,038
3423311934,54.59,064
3423311470,61.67,050
3423314234,52.39,019
