demographic/gender,interaction/schema/version,interaction/source,interaction/author/username,interaction/author/name,interaction/author/id,interaction/author/avatar,interaction/author/link,interaction/type,interaction/created_at,interaction/content,interaction/id,interaction/link,language/tag,language/confidence,twitter/created_at,twitter/id,twitter/mention_ids/0,twitter/mentions/0,twitter/source,twitter/text,twitter/user/name,twitter/user/description,twitter/user/location,twitter/user/statuses_count,twitter/user/followers_count,twitter/user/friends_count,twitter/user/screen_name,twitter/user/profile_image_url,twitter/user/lang,twitter/user/id,twitter/user/id_str,twitter/user/created_at,twitter/user/url,twitter/in_reply_to_screen_name,twitter/in_reply_to_user_id,twitter/in_reply_to_status_id,klout/score,salience/content/entities/0/name,salience/content/entities/0/type,salience/content/entities/0/label,salience/content/entities/0/sentiment,salience/content/entities/0/evidence,salience/content/entities/0/confident,salience/content/entities/0/about,salience/content/entities/1/name,salience/content/entities/1/type,salience/content/entities/1/label,salience/content/entities/1/sentiment,salience/content/entities/1/evidence,salience/content/entities/1/confident,salience/content/entities/1/about,salience/content/entities/2/name,salience/content/entities/2/type,salience/content/entities/2/label,salience/content/entities/2/sentiment,salience/content/entities/2/evidence,salience/content/entities/2/confident,salience/content/entities/2/about,salience/content/entities/3/name,salience/content/entities/3/type,salience/content/entities/3/label,salience/content/entities/3/sentiment,salience/content/entities/3/evidence,salience/content/entities/3/confident,salience/content/entities/3/about,salience/content/entities/4/name,salience/content/entities/4/type,salience/content/entities/4/label,salience/content/entities/4/sentiment,salience/content/entities/4/evidence,salience/content/entities/4/confident,salience/content/entities/4/about,salience/content/entities/5/name,salience/content/entities/5/type,salience/content/entities/5/label,salience/content/entities/5/sentiment,salience/content/entities/5/evidence,salience/content/entities/5/confident,salience/content/entities/5/about,salience/content/entities/6/name,salience/content/entities/6/type,salience/content/entities/6/label,salience/content/entities/6/sentiment,salience/content/entities/6/evidence,salience/content/entities/6/confident,salience/content/entities/6/about,salience/content/entities/7/name,salience/content/entities/7/type,salience/content/entities/7/label,salience/content/entities/7/sentiment,salience/content/entities/7/evidence,salience/content/entities/7/confident,salience/content/entities/7/about,salience/content/entities/8/name,salience/content/entities/8/type,salience/content/entities/8/label,salience/content/entities/8/sentiment,salience/content/entities/8/evidence,salience/content/entities/8/confident,salience/content/entities/8/about,salience/content/entities/9/name,salience/content/entities/9/type,salience/content/entities/9/label,salience/content/entities/9/sentiment,salience/content/entities/9/evidence,salience/content/entities/9/confident,salience/content/entities/9/about,salience/content/entities/10/name,salience/content/entities/10/type,salience/content/entities/10/label,salience/content/entities/10/sentiment,salience/content/entities/10/evidence,salience/content/entities/10/confident,salience/content/entities/10/about,salience/content/sentiment,twitter/retweet/text,twitter/retweet/id,twitter/retweet/user/name,twitter/retweet/user/description,twitter/retweet/user/location,twitter/retweet/user/statuses_count,twitter/retweet/user/followers_count,twitter/retweet/user/friends_count,twitter/retweet/user/screen_name,twitter/retweet/user/profile_image_url,twitter/retweet/user/lang,twitter/retweet/user/time_zone,twitter/retweet/user/utc_offset,twitter/retweet/user/listed_count,twitter/retweet/user/id,twitter/retweet/user/id_str,twitter/retweet/user/geo_enabled,twitter/retweet/user/created_at,twitter/retweet/source,twitter/retweet/count,twitter/retweet/created_at,twitter/retweeted/id,twitter/retweeted/user/name,twitter/retweeted/user/url,twitter/retweeted/user/description,twitter/retweeted/user/location,twitter/retweeted/user/statuses_count,twitter/retweeted/user/followers_count,twitter/retweeted/user/friends_count,twitter/retweeted/user/screen_name,twitter/retweeted/user/profile_image_url,twitter/retweeted/user/lang,twitter/retweeted/user/listed_count,twitter/retweeted/user/id,twitter/retweeted/user/id_str,twitter/retweeted/user/geo_enabled,twitter/retweeted/user/verified,twitter/retweeted/user/created_at,twitter/retweeted/source,twitter/retweeted/created_at,links/code/0,links/created_at/0,links/normalized_url/0,links/retweet_count/0,links/title/0,links/url/0,twitter/domains/0,twitter/hashtags/0,twitter/links/0,twitter/user/time_zone,twitter/user/listed_count,twitter/user/utc_offset,twitter/user/geo_enabled,links/hops/0/0,links/hops/0/1,twitter/retweet/mentions/0,twitter/retweet/mention_ids/0,twitter/retweeted/user/time_zone,twitter/retweeted/user/utc_offset,salience/content/entities/0/themes/0,salience/content/entities/0/themes/1,salience/content/entities/0/themes/2,salience/content/entities/1/themes/0,salience/content/entities/1/themes/1,salience/content/entities/1/themes/2,salience/content/entities/2/themes/0,salience/content/entities/2/themes/1,salience/content/entities/2/themes/2,salience/content/entities/3/themes/0,salience/content/entities/3/themes/1,salience/content/entities/3/themes/2,salience/content/entities/4/themes/0,salience/content/entities/4/themes/1,salience/content/entities/4/themes/2,salience/content/entities/5/themes/0,salience/content/entities/5/themes/1,salience/content/entities/5/themes/2,salience/content/entities/6/themes/0,salience/content/entities/6/themes/1,salience/content/entities/6/themes/2,salience/content/entities/7/themes/0,salience/content/entities/7/themes/1,salience/content/entities/7/themes/2,salience/content/entities/8/themes/0,salience/content/entities/8/themes/1,salience/content/entities/8/themes/2,links/hops/0/2,twitter/retweet/links/0,twitter/retweet/domains/0,facebook/author/name,facebook/author/id,facebook/author/link,facebook/author/avatar,facebook/id,facebook/message,facebook/source,facebook/type,links/code/1,links/created_at/1,links/normalized_url/1,links/retweet_count/1,links/title/1,links/url/1,twitter/domains/1,twitter/links/1
unisex,3,UberSocial for BlackBerry,Miles,Bentley ,5773469,http://a0.twimg.com/profile_images/208/image_normal.jpg,http://twitter.com/miles,twitter,"Thu, 14 Feb 2013 15:48:30 +0000","Mmpi ap bca status mg seromantis gni.weeekRT @calumet: :)))hahayyy RT @: AseeeekRT @calumet: Aku mencintaimu dgn sdhna,",35313409171,http://twitter.com/miles/statuses/35313409171,ms,100,"Thu, 14 Feb 2013 15:48:30 +0000",35313409171,0,calumet,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>","Mmpi ap bca status mg seromantis gni.weeekRT @calumet: :)))hahayyy RT @: AseeeekRT @calumet: Aku mencintaimu dgn sdhna,",Bentley ,,"Pontianak,indonesia",1157,80,100,Miles,http://a0.twimg.com/profile_images/208/image_normal.jpg,en,5773469,5773469,"Fri, 30 Mar 2012 01:49:36 +0000",http://miles.com,Calumet,0,71005423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,web,Arnstrom,Arnstrom ,142,http://a0.twimg.com/profile_images/742516825/image_normal.jpg,http://twitter.com/arnstrom,twitter,"Thu, 14 Feb 2013 15:48:30 +0000","RT @LFC: LFC team v Zenit: Reina, Johnson, Enrique, Carragher, Skrtel, Allen, Henderson, Gerrard, Sterling, Downing, Suarez.",42548733321,http://twitter.com/arnstrom/statuses/42548733321,fr,62,,42548733321,,,,,,,,,,,,,,,,,,Captainmanhattan,5095865,34070356143,42,Reina,Person,Person,0,0,1,1,Johnson,Person,Person,0,0,1,1,Enrique,Person,Person,0,0,1,1,Carragher,Person,Person,0,0,1,1,Skrtel,Person,Person,0,0,1,1,Allen,Person,Person,0,0,1,1,Henderson,Person,Person,0,0,1,1,Gerrard,Person,Person,0,0,1,1,Sterling,Person,Person,0,0,1,1,Downing,Person,Person,0,0,1,1,Suarez,Person,Person,0,0,1,1,0,"LFC team v Zenit: Reina, Johnson, Enrique, Carragher, Skrtel, Allen, Henderson, Gerrard, Sterling, Downing, Suarez.",302081892562391040,Mithrandir,"Student of Digital Art :D ,,, LFC ... DanielAGGER,,, Skagger YNWA~ ... Footballism ,,, Bendtner,Gerlonso 4ever~ ♥Tom Hiddleston, Loki, EXO KAi : KRiS-Chanyeol~","Bkk, Thailand",15763,135,133,IDEAZ1TiMER,http://a0.twimg.com/profile_images/3237490304/bd59c2670812afd47f3fa958132249e6_normal.jpeg,en,Pacific Time (US & Canada),-28800,3,98641111,98641111,true,"Tue, 22 Dec 2009 14:05:31 +0000",web,762,"Thu, 14 Feb 2013 15:48:30 +0000",302080839288750081,Liverpool FC ,http://www.liverpoolfc.com/,Official LFC account. Follow @OfficialLFC_ID @ThaiLFC @LFCANZ @LFCBrasil @LFCEspanol @LFC_Arabic @LFCIndia @LFCFrance @TurkeyLFC  @LFCBangladesh,"Anfield, Liverpool",21749,1511801,409073,LFC,http://a0.twimg.com/profile_images/1847862599/Grad_LFC_Crest_twitter_normal.jpg,en,11364,19583545,19583545,true,true,"Tue, 27 Jan 2009 09:05:21 +0000",web,"Thu, 14 Feb 2013 15:44:19 +0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
male,3,Echofon,Carver,Carver ,29,http://a0.twimg.com/profile_images/398408827/image_normal.jpg,http://twitter.com/carver,twitter,"Thu, 14 Feb 2013 15:48:25 +0000",Back to Beeston with son in tow for our http://t.co/WUtV6dRu Ideas Circle. Investment panel get to meet #socent b4 final bids submitted.,38032386545,http://twitter.com/carver/statuses/38032386545,en,100,"Thu, 14 Feb 2013 15:48:25 +0000",38032386545,,,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",Back to Beeston with son in tow for our http://t.co/WUtV6dRu Ideas Circle. Investment panel get to meet #socent b4 final bids submitted.,Carver ,,"Leeds, UK",28844,3756,1078,Carver,http://a0.twimg.com/profile_images/398408827/image_normal.jpg,en,29,29,"Tue, 21 Jul 2009 21:28:18 +0000",http://carver.com,Chet,1836313,88836073712,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,"Thu, 14 Feb 2013 15:48:30 +0000",http://ideasthatchangelives.org.uk,0,Ideas That Change Lives,http://ideasthatchangelives.org.uk/,ideasthatchangelives.org.uk,socent,http://ideasthatchangelives.org.uk/,London,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unisex,3,TweetCaster for Android,Fabian,Caches ,1,http://a0.twimg.com/profile_images/600368156/image_normal.jpg,http://twitter.com/fabian,twitter,"Thu, 14 Feb 2013 15:48:30 +0000",Haha payah Gam *peuh kabah om eh dijawab *opp RT @agon: opp RT @: @agon hey opp,41923361970,http://twitter.com/fabian/statuses/41923361970,id,100,"Thu, 14 Feb 2013 15:48:30 +0000",41923361970,9172603,agon,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>",Haha payah Gam *peuh kabah om eh dijawab *opp RT @agon: opp RT @: @agon hey opp,Caches ,,"DEPOK, INDONESIA",4256,220,145,Fabian,http://a0.twimg.com/profile_images/600368156/image_normal.jpg,en,1,1,"Thu, 19 Jan 2012 15:22:41 +0000",http://fabian.com,Agon,9172603,49672669591,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jakarta,,25200,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mostly_male,3,Twitter for Android,Carrion,Carrion ,5875384,http://a0.twimg.com/profile_images/763631879/image_normal.jpg,http://twitter.com/carrion,twitter,"Thu, 14 Feb 2013 15:48:30 +0000","!!!!!!!!! ""@karlmor: On Thursday I always listen to The Weeknd Thursday its tradition""",25063727796,http://twitter.com/carrion/statuses/25063727796,en,100,"Thu, 14 Feb 2013 15:48:30 +0000",25063727796,8494849,karlmor,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","!!!!!!!!! ""@karlmor: On Thursday I always listen to The Weeknd Thursday its tradition""",Carrion ,,A Yellow Submarine ,37084,178,177,Carrion,http://a0.twimg.com/profile_images/763631879/image_normal.jpg,en,5875384,5875384,"Wed, 01 Dec 2010 20:17:38 +0000",http://carrion.com,Karlmor,8494849,60743326810,40,"""@Elevated_Pat: On Thursday I always listen to The Weeknd Thursday its tradition""",Quote,Quote,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quito,2,-18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
female,3,Twitter for Mac,Susan,Calkin ,2758758,http://a0.twimg.com/profile_images/0/image_normal.jpg,http://twitter.com/susan,twitter,"Thu, 14 Feb 2013 15:48:30 +0000","RT @LFC: LFC team v Zenit: Reina, Johnson, Enrique, Carragher, Skrtel, Allen, Henderson, Gerrard, Sterling, Downing, Suarez.",689952704,http://twitter.com/susan/statuses/689952704,fr,62,,689952704,,,,,,,,,,,,,,,,,,Azure,1416339,30937,34,Reina,Person,Person,0,0,1,1,Johnson,Person,Person,0,0,1,1,Enrique,Person,Person,0,0,1,1,Carragher,Person,Person,0,0,1,1,Skrtel,Person,Person,0,0,1,1,Allen,Person,Person,0,0,1,1,Henderson,Person,Person,0,0,1,1,Gerrard,Person,Person,0,0,1,1,Sterling,Person,Person,0,0,1,1,Downing,Person,Person,0,0,1,1,Suarez,Person,Person,0,0,1,1,0,"LFC team v Zenit: Reina, Johnson, Enrique, Carragher, Skrtel, Allen, Henderson, Gerrard, Sterling, Downing, Suarez.",302081894328193025,Chrissy,,New York,2803,48,178,ecstaticappeal,http://a0.twimg.com/profile_images/3052941446/7327b588e33b699a2f8cd4cd8e5f7124_normal.jpeg,en,Quito,-18000,,400747995,400747995,,"Sat, 29 Oct 2011 14:23:21 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>",763,"Thu, 14 Feb 2013 15:48:30 +0000",302080839288750081,Liverpool FC ,http://www.liverpoolfc.com/,Official LFC account. Follow @OfficialLFC_ID @ThaiLFC @LFCANZ @LFCBrasil @LFCEspanol @LFC_Arabic @LFCIndia @LFCFrance @TurkeyLFC  @LFCBangladesh,"Anfield, Liverpool",21749,1511801,409073,LFC,http://a0.twimg.com/profile_images/1847862599/Grad_LFC_Crest_twitter_normal.jpg,en,11364,19583545,19583545,true,true,"Tue, 27 Jan 2009 09:05:21 +0000",web,"Thu, 14 Feb 2013 15:44:19 +0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,twitterfeed,D,Angar The Screamer ,4265947,http://a0.twimg.com/profile_images/899041031/image_normal.jpg,http://twitter.com/d,twitter,"Thu, 14 Feb 2013 15:48:24 +0000",Settlement day loans pleasure principle engaged: hell-bent scratch give a lift being yours cardhouse.: .RtI http://t.co/irASM0Yn,28636467969,http://twitter.com/d/statuses/28636467969,en,100,"Thu, 14 Feb 2013 15:48:24 +0000",28636467969,,,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",Settlement day loans pleasure principle engaged: hell-bent scratch give a lift being yours cardhouse.: .RtI http://t.co/irASM0Yn,Angar The Screamer ,,,2851,23,12,D,http://a0.twimg.com/profile_images/899041031/image_normal.jpg,en,4265947,4265947,"Wed, 25 Jul 2012 08:55:00 +0000",http://d.com,Tristan,3820857,13028882560,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,"Thu, 14 Feb 2013 15:48:30 +0000",http://web-promotions.us.to/page-7853/616262,0,Payday loans self employed: quick cash aid for your emergency.,http://web-promotions.us.to/page-7853/616262,bit.ly,,http://bit.ly/12kFJIC,,,,,http://bit.ly/12kFJIC,http://web-promotions.us.to/page-7853/616262?utm_source=twitterfeed&utm_medium=twitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
male,3,Twitter for Android,Clemdenon,Cardinal ,8114319,http://a0.twimg.com/profile_images/695468870/image_normal.jpg,http://twitter.com/clemdenon,twitter,"Thu, 14 Feb 2013 15:48:30 +0000","Iya, temen2mu re hahaa ""@beautifuldreamerii: Rme krn anak racink? RT @: Iya dong, td maunya dCK tp rame bgt""@beautifuldreamerii: Cieeehh""",14210224733,http://twitter.com/clemdenon/statuses/14210224733,ms,62,"Thu, 14 Feb 2013 15:48:30 +0000",14210224733,3205490,beautifuldreamerii,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Iya, temen2mu re hahaa ""@beautifuldreamerii: Rme krn anak racink? RT @: Iya dong, td maunya dCK tp rame bgt""@beautifuldreamerii: Cieeehh""",Cardinal ,,"ÜT: -7.290237,112.781337",2280,179,136,Clemdenon,http://a0.twimg.com/profile_images/695468870/image_normal.jpg,en,8114319,8114319,"Wed, 02 Jun 2010 18:08:53 +0000",http://clemdenon.com,Beautifuldreamerii,3205490,11363079608,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
male,3,web,Mr.,Bumpo ,9818234,http://a0.twimg.com/profile_images/798595877/image_normal.jpg,http://twitter.com/mr.,twitter,"Thu, 14 Feb 2013 15:48:30 +0000","RT @adityaulia: RT @LFC: LFC team v Zenit: Reina, Johnson, Enrique, Carragher, Skrtel, Allen, Henderson, Gerrard, Sterling, Downing, Suarez.",71565279061,http://twitter.com/mr./statuses/71565279061,fr,62,,71565279061,,,,,,,,,,,,,,,,,,Bradhulk,1146426,45002412190,23,Reina,Person,Person,0,0,1,1,Johnson,Person,Person,0,0,1,1,Enrique,Person,Person,0,0,1,1,Carragher,Person,Person,0,0,1,1,Skrtel,Person,Person,0,0,1,1,Allen,Person,Person,0,0,1,1,Henderson,Person,Person,0,0,1,1,Gerrard,Person,Person,0,0,1,1,Sterling,Person,Person,0,0,1,1,Downing,Person,Person,0,0,1,1,Suarez,Person,Person,0,0,1,1,0,"RT @LFC: LFC team v Zenit: Reina, Johnson, Enrique, Carragher, Skrtel, Allen, Henderson, Gerrard, Sterling, Downing, Suarez.",302081895200604160,A. Faris Agianda,RDV23 & PJTN14/ Dasecakra #YNWA,"Jakarta, Indonesia.",1244,198,248,farisagianda,http://a0.twimg.com/profile_images/3233548062/855bdd1e9e0185e4e37992777062c10d_normal.jpeg,en,Jakarta,25200,,83597537,83597537,,"Mon, 19 Oct 2009 13:20:33 +0000",web,1,"Thu, 14 Feb 2013 15:48:30 +0000",302080898151628805,Aditya Aulia.,http://youtube.com/AdityaAulia,Mayu Watanabe & Delima Rizky freak • #JFT96,Jakarta,31234,356,308,adityaulia,http://a0.twimg.com/profile_images/3090555024/0bb3a5aa48b2939b6d3eb8bf3bca7f79_normal.jpeg,en,1,159371063,159371063,,,"Fri, 25 Jun 2010 05:33:10 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","Thu, 14 Feb 2013 15:44:33 +0000",,,,,,,,,,,,,,,,LFC,19583545,Jakarta,25200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
male,3,web,Asmodeus,Asmodeus ,9464294,http://a0.twimg.com/profile_images/244/image_normal.jpg,http://twitter.com/asmodeus,twitter,"Thu, 14 Feb 2013 15:48:31 +0000","RT @LFC: LFC team v Zenit: Reina, Johnson, Enrique, Carragher, Skrtel, Allen, Henderson, Gerrard, Sterling, Downing, Suarez.",52825111802,http://twitter.com/asmodeus/statuses/52825111802,fr,62,,52825111802,,,,,,,,,,,,,,,,,,Mayor,5428944,99218758405,44,Reina,Person,Person,0,0,1,1,Johnson,Person,Person,0,0,1,1,Enrique,Person,Person,0,0,1,1,Carragher,Person,Person,0,0,1,1,Skrtel,Person,Person,0,0,1,1,Allen,Person,Person,0,0,1,1,Henderson,Person,Person,0,0,1,1,Gerrard,Person,Person,0,0,1,1,Sterling,Person,Person,0,0,1,1,Downing,Person,Person,0,0,1,1,Suarez,Person,Person,0,0,1,1,0,"LFC team v Zenit: Reina, Johnson, Enrique, Carragher, Skrtel, Allen, Henderson, Gerrard, Sterling, Downing, Suarez.",302081895859109888,Danang Muhammad Y,"Liverpudlian garis keras\m/
#YNWA",,6261,200,383,Dananglfc,http://a0.twimg.com/profile_images/3195816862/bfed889ea1f56f4ea661abeae2d241a1_normal.jpeg,en,,,,231953790,231953790,,"Wed, 29 Dec 2010 22:44:20 +0000",web,764,"Thu, 14 Feb 2013 15:48:31 +0000",302080839288750081,Liverpool FC ,http://www.liverpoolfc.com/,Official LFC account. Follow @OfficialLFC_ID @ThaiLFC @LFCANZ @LFCBrasil @LFCEspanol @LFC_Arabic @LFCIndia @LFCFrance @TurkeyLFC  @LFCBangladesh,"Anfield, Liverpool",21749,1511801,409073,LFC,http://a0.twimg.com/profile_images/1847862599/Grad_LFC_Crest_twitter_normal.jpg,en,11364,19583545,19583545,true,true,"Tue, 27 Jan 2009 09:05:21 +0000",web,"Thu, 14 Feb 2013 15:44:19 +0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
