interaction/schema/version,interaction/source,interaction/author/username,interaction/author/name,interaction/author/id,interaction/author/avatar,interaction/author/link,interaction/type,interaction/created_at,interaction/content,interaction/id,interaction/link,klout/score,language/tag,language/confidence,links/code/0,links/created_at/0,links/hops/0/0,links/normalized_url/0,links/retweet_count/0,links/title/0,links/url/0,salience/content/sentiment,twitter/created_at,twitter/domains/0,twitter/hashtags/0,twitter/id,twitter/links/0,twitter/source,twitter/text,twitter/user/name,twitter/user/url,twitter/user/description,twitter/user/location,twitter/user/statuses_count,twitter/user/followers_count,twitter/user/friends_count,twitter/user/screen_name,twitter/user/profile_image_url,twitter/user/lang,twitter/user/time_zone,twitter/user/listed_count,twitter/user/id,twitter/user/id_str,twitter/user/created_at,twitter/in_reply_to_screen_name,twitter/in_reply_to_user_id,twitter/in_reply_to_status_id,demographic/gender,twitter/retweet/text,twitter/retweet/id,twitter/retweet/user/name,twitter/retweet/user/description,twitter/retweet/user/location,twitter/retweet/user/statuses_count,twitter/retweet/user/followers_count,twitter/retweet/user/friends_count,twitter/retweet/user/screen_name,twitter/retweet/user/profile_image_url,twitter/retweet/user/lang,twitter/retweet/user/time_zone,twitter/retweet/user/utc_offset,twitter/retweet/user/id,twitter/retweet/user/id_str,twitter/retweet/user/created_at,twitter/retweet/source,twitter/retweet/count,twitter/retweet/created_at,twitter/retweeted/id,twitter/retweeted/user/name,twitter/retweeted/user/description,twitter/retweeted/user/statuses_count,twitter/retweeted/user/followers_count,twitter/retweeted/user/friends_count,twitter/retweeted/user/screen_name,twitter/retweeted/user/profile_image_url,twitter/retweeted/user/lang,twitter/retweeted/user/time_zone,twitter/retweeted/user/utc_offset,twitter/retweeted/user/listed_count,twitter/retweeted/user/id,twitter/retweeted/user/id_str,twitter/retweeted/user/created_at,twitter/retweeted/source,twitter/retweeted/created_at,salience/content/entities/0/name,salience/content/entities/0/type,salience/content/entities/0/label,salience/content/entities/0/sentiment,salience/content/entities/0/evidence,salience/content/entities/0/confident,salience/content/entities/0/about,salience/content/entities/1/name,salience/content/entities/1/type,salience/content/entities/1/label,salience/content/entities/1/sentiment,salience/content/entities/1/evidence,salience/content/entities/1/confident,salience/content/entities/1/about,salience/content/entities/2/name,salience/content/entities/2/type,salience/content/entities/2/label,salience/content/entities/2/sentiment,salience/content/entities/2/evidence,salience/content/entities/2/confident,salience/content/entities/2/about,salience/content/entities/3/name,salience/content/entities/3/type,salience/content/entities/3/label,salience/content/entities/3/sentiment,salience/content/entities/3/evidence,salience/content/entities/3/confident,salience/content/entities/3/about,salience/content/entities/4/name,salience/content/entities/4/type,salience/content/entities/4/label,salience/content/entities/4/sentiment,salience/content/entities/4/evidence,salience/content/entities/4/confident,salience/content/entities/4/about,salience/content/entities/5/name,salience/content/entities/5/type,salience/content/entities/5/label,salience/content/entities/5/sentiment,salience/content/entities/5/evidence,salience/content/entities/5/confident,salience/content/entities/5/about,salience/content/entities/6/name,salience/content/entities/6/type,salience/content/entities/6/label,salience/content/entities/6/sentiment,salience/content/entities/6/evidence,salience/content/entities/6/confident,salience/content/entities/6/about,salience/content/entities/7/name,salience/content/entities/7/type,salience/content/entities/7/label,salience/content/entities/7/sentiment,salience/content/entities/7/evidence,salience/content/entities/7/confident,salience/content/entities/7/about,salience/content/entities/8/name,salience/content/entities/8/type,salience/content/entities/8/label,salience/content/entities/8/sentiment,salience/content/entities/8/evidence,salience/content/entities/8/confident,salience/content/entities/8/about,salience/content/entities/9/name,salience/content/entities/9/type,salience/content/entities/9/label,salience/content/entities/9/sentiment,salience/content/entities/9/evidence,salience/content/entities/9/confident,salience/content/entities/9/about,salience/content/entities/10/name,salience/content/entities/10/type,salience/content/entities/10/label,salience/content/entities/10/sentiment,salience/content/entities/10/evidence,salience/content/entities/10/confident,salience/content/entities/10/about,twitter/mention_ids/0,twitter/mentions/0,twitter/user/utc_offset,twitter/user/geo_enabled,twitter/retweeted/user/url,twitter/retweeted/user/location,twitter/retweeted/user/geo_enabled,twitter/retweeted/user/verified,twitter/retweet/user/listed_count,twitter/retweet/user/geo_enabled,twitter/retweet/mentions/0,twitter/retweet/mentions/1,twitter/retweet/mention_ids/0,twitter/retweet/mention_ids/1,links/hops/0/1,facebook/author/name,facebook/author/id,facebook/author/link,facebook/author/avatar,facebook/id,facebook/message,facebook/source,facebook/type,twitter/retweet/hashtags/0,twitter/hashtags/1,twitter/hashtags/2,twitter/hashtags/3
3,FXstreet.com,Noah,Baxter ,7692314,http://a0.twimg.com/profile_images/0/image_normal.jpg,http://twitter.com/noah,twitter,"Thu, 14 Feb 2013 15:48:16 +0000",#Forex Flash: Chinese credit boom could roil AUD – UBS http://t.co/EfvibWdv,17763637262,http://twitter.com/noah/statuses/17763637262,63,en,61,200,"Thu, 14 Feb 2013 15:48:18 +0000",http://bit.ly/YgwWl1,http://fxstreet.com/news/forex-news/article.aspx?storyid=c6d4c4e6-0cdd-4ffd-a263-9bcf9b215642,0,Forex Flash: Chinese credit boom could roil AUD – UBS,http://www.fxstreet.com/news/forex-news/article.aspx?storyid=c6d4c4e6-0cdd-4ffd-a263-9bcf9b215642,0,"Thu, 14 Feb 2013 15:48:16 +0000",bit.ly,Forex,17763637262,http://bit.ly/YgwWl1,"<a href=""http://www.fxstreet.com/"" rel=""nofollow"">FXstreet.com</a>",#Forex Flash: Chinese credit boom could roil AUD – UBS http://t.co/EfvibWdv,Baxter ,http://noah.com,,Barcelona,75682,28086,253,Noah,http://a0.twimg.com/profile_images/0/image_normal.jpg,en,London,1050,7692314,7692314,"Mon, 30 Mar 2009 15:05:53 +0000",Cynthia,9720700,31067089317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Twitter for iPhone,Astraii,Astra Ii ,2996042,http://a0.twimg.com/profile_images/605195041/image_normal.jpg,http://twitter.com/astraii,twitter,"Thu, 14 Feb 2013 15:48:18 +0000",RT @fxckaycee: everi1 al hapy bcus dey getin fukd 2dai,95280158473,http://twitter.com/astraii/statuses/95280158473,,en,62,,,,,,,,0,,,,95280158473,,,,,,,,,,,,,,,,,,,Bradhulk,9280423,84262790158,female,everi1 al hapy bcus dey getin fukd 2dai,302081842796969986,Nicole Chavez☕,Kofa King - Love who I be - Love who I be taken with - Make your passion your life not just a living - #LIDF ,Somerton,1593,50,65,Nickerella6,http://a0.twimg.com/profile_images/3151058280/89d83424bc6b400bcdd0dbc247ce2974_normal.jpeg,en,Arizona,-25200,100066911,100066911,"Mon, 28 Dec 2009 22:43:07 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1,"Thu, 14 Feb 2013 15:48:18 +0000",302070192257761280,yedvany,die,9946,500,326,fxckaycee,http://a0.twimg.com/profile_images/3244045903/b0e767b6d21426efcaae438637264e46_normal.jpeg,en,Pacific Time (US & Canada),-28800,2,202011049,202011049,"Wed, 13 Oct 2010 03:12:41 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Thu, 14 Feb 2013 15:02:00 +0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,UberSocial for BlackBerry,Bansheeii,Banshee Ii ,8413555,http://a0.twimg.com/profile_images/210368961/image_normal.jpg,http://twitter.com/bansheeii,twitter,"Thu, 14 Feb 2013 15:48:18 +0000","RT @ro: ro team v Zenit: Reina, Johnson, Enrique, Carragher, Skrtel, Allen, Henderson, Gerrard, Sterling, Downing, Suarez.",71836098097,http://twitter.com/bansheeii/statuses/71836098097,45,fr,62,,,,,,,,0,"Thu, 14 Feb 2013 15:48:18 +0000",,,71836098097,,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>","RT @ro: ro team v Zenit: Reina, Johnson, Enrique, Carragher, Skrtel, Allen, Henderson, Gerrard, Sterling, Downing, Suarez.",Banshee Ii ,http://bansheeii.com,,"ÜT: -6.8935723,107.5595599",1853,114,132,Bansheeii,http://a0.twimg.com/profile_images/210368961/image_normal.jpg,en,Pacific Time (US & Canada),,8413555,8413555,"Tue, 13 Jul 2010 02:49:37 +0000",Ro,3073820,98496240237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reina,Person,Person,0,0,1,1,Johnson,Person,Person,0,0,1,1,Enrique,Person,Person,0,0,1,1,Carragher,Person,Person,0,0,1,1,Skrtel,Person,Person,0,0,1,1,Allen,Person,Person,0,0,1,1,Henderson,Person,Person,0,0,1,1,Gerrard,Person,Person,0,0,1,1,Sterling,Person,Person,0,0,1,1,Downing,Person,Person,0,0,1,1,Suarez,Person,Person,0,0,1,1,3073820,ro,-28800,true,,,,,,,,,,,,,,,,,,,,,,,
3,Twitter for BlackBerry®,Kylegrobe,Advent ,8631455,http://a0.twimg.com/profile_images/949379607/image_normal.jpg,http://twitter.com/kylegrobe,twitter,"Thu, 14 Feb 2013 15:48:18 +0000","Soryy td ngga bls VN , soalnya td ribut puut RT""@cancerii: This is fuckday! Semuanya menyebalkan!""",842,http://twitter.com/kylegrobe/statuses/842,39,ms,100,,,,,,,,,"Thu, 14 Feb 2013 15:48:18 +0000",,,842,,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","Soryy td ngga bls VN , soalnya td ribut puut RT""@cancerii: This is fuckday! Semuanya menyebalkan!""",Advent ,http://kylegrobe.com,,,9810,468,321,Kylegrobe,http://a0.twimg.com/profile_images/949379607/image_normal.jpg,en,Jakarta,,8631455,8631455,"Wed, 26 Jan 2011 11:49:13 +0000",Cancerii,6283088,96424924093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6283088,cancerii,25200,,,,,,,,,,,,,,,,,,,,,,,,
3,UberSocial for BlackBerry,Authority,Authority ,2110755,http://a0.twimg.com/profile_images/145790525/image_normal.jpg,http://twitter.com/authority,twitter,"Thu, 14 Feb 2013 15:48:18 +0000","Lah laper lagi, efek td cuma makan bubur,,, dah gitu stgh porsi lg :'(",95693417871,http://twitter.com/authority/statuses/95693417871,41,ms,100,,,,,,,,,"Thu, 14 Feb 2013 15:48:18 +0000",,,95693417871,,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>","Lah laper lagi, efek td cuma makan bubur,,, dah gitu stgh porsi lg :'(",Authority ,http://authority.com,,Jakarta n Bandung,24648,1066,1712,Authority,http://a0.twimg.com/profile_images/145790525/image_normal.jpg,en,,2,2110755,2110755,"Mon, 16 Jan 2012 13:31:02 +0000",Prof,3139838,19138337532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,UberSocial for Android,Hiroshi,Anami ,4430216,http://a0.twimg.com/profile_images/972578119/image_normal.jpg,http://twitter.com/hiroshi,twitter,"Thu, 14 Feb 2013 15:48:18 +0000",@sam kyk td she. Tetaplah ditempatny. sma tempat terindah. Haha~,17669393750,http://twitter.com/hiroshi/statuses/17669393750,43,id,100,,,,,,,,,"Thu, 14 Feb 2013 15:48:18 +0000",,,17669393750,,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for Android</a>",@sam kyk td she. Tetaplah ditempatny. sma tempat terindah. Haha~,Anami ,http://hiroshi.com,,,391,66,65,Hiroshi,http://a0.twimg.com/profile_images/972578119/image_normal.jpg,id,Jakarta,,4430216,4430216,"Mon, 24 Dec 2012 11:54:40 +0000",Sam,9050018,57975189085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9050018,sam,25200,,,,,,,,,,,,,,,,,,,,,,,,
3,Facebook,Dan,Carr ,1037493,http://a0.twimg.com/profile_images/712831402/image_normal.jpg,http://twitter.com/dan,twitter,"Thu, 14 Feb 2013 15:48:18 +0000",Arcapita Bank Preparing To Liquidate $2 Billion in U.S. Assets -... http://t.co/67FE2xE5,61038443935,http://twitter.com/dan/statuses/61038443935,11,en,62,200,"Thu, 14 Feb 2013 15:48:19 +0000",http://fb.me/HQb7sGIv,http://facebook.com/permalink.php?story_fbid=558132727539749&id=468966366456386,0,Arcapita Bank... | Facebook,http://www.facebook.com/permalink.php?story_fbid=558132727539749&id=468966366456386,0,"Thu, 14 Feb 2013 15:48:18 +0000",fb.me,,61038443935,http://fb.me/HQb7sGIv,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",Arcapita Bank Preparing To Liquidate $2 Billion in U.S. Assets -... http://t.co/67FE2xE5,Carr ,http://dan.com,,,1083,6,,Dan,http://a0.twimg.com/profile_images/712831402/image_normal.jpg,en,,,1037493,1037493,"Mon, 27 Aug 2012 03:19:03 +0000",Centurius,6433638,60318537661,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arcapita Bank,Company,Company,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Twitter for Android,Boulder,Boulder ,48,http://a0.twimg.com/profile_images/255375077/image_normal.jpg,http://twitter.com/boulder,twitter,"Thu, 14 Feb 2013 15:48:19 +0000","RT @LFC: LFC team v Zenit: Reina, Johnson, Enrique, Carragher, Skrtel, Allen, Henderson, Gerrard, Sterling, Downing, Suarez.",89952876674,http://twitter.com/boulder/statuses/89952876674,44,fr,62,,,,,,,,0,,,,89952876674,,,,,,,,,,,,,,,,,,,Barrier,6024925,80710639455,male,"LFC team v Zenit: Reina, Johnson, Enrique, Carragher, Skrtel, Allen, Henderson, Gerrard, Sterling, Downing, Suarez.",302081845909151744,Constantin Dimas,"Avatar aku jangan di Zoom, takutnya kamu naksir. #YNWA",,1578,65,137,RealCDR,http://a0.twimg.com/profile_images/3198105417/38e30ac66acbd4011ccac8f96b985403_normal.jpeg,en,Jakarta,25200,767499085,767499085,"Sun, 19 Aug 2012 12:36:33 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",751,"Thu, 14 Feb 2013 15:48:19 +0000",302080839288750081,Liverpool FC ,Official LFC account. Follow @OfficialLFC_ID @ThaiLFC @LFCANZ @LFCBrasil @LFCEspanol @LFC_Arabic @LFCIndia @LFCFrance @TurkeyLFC  @LFCBangladesh,21749,1511801,409073,LFC,http://a0.twimg.com/profile_images/1847862599/Grad_LFC_Crest_twitter_normal.jpg,en,,,11364,19583545,19583545,"Tue, 27 Jan 2009 09:05:21 +0000",web,"Thu, 14 Feb 2013 15:44:19 +0000",Reina,Person,Person,0,0,1,1,Johnson,Person,Person,0,0,1,1,Enrique,Person,Person,0,0,1,1,Carragher,Person,Person,0,0,1,1,Skrtel,Person,Person,0,0,1,1,Allen,Person,Person,0,0,1,1,Henderson,Person,Person,0,0,1,1,Gerrard,Person,Person,0,0,1,1,Sterling,Person,Person,0,0,1,1,Downing,Person,Person,0,0,1,1,Suarez,Person,Person,0,0,1,1,,,,,http://www.liverpoolfc.com/,"Anfield, Liverpool",true,true,,,,,,,,,,,,,,,,,,,
3,Mobile Web (M2),Blastaar,Blastaar ,5605285,http://a0.twimg.com/profile_images/167801909/image_normal.jpg,http://twitter.com/blastaar,twitter,"Thu, 14 Feb 2013 15:48:19 +0000",RT @frasedesarcasmo: —¡CUIDADO CON EL BESO! —¿Cuál bes...,24022833025,http://twitter.com/blastaar/statuses/24022833025,27,af,62,,,,,,,,,,,,24022833025,,,,,,,,,,,,,,,,,,,Mrs.,1651709,16982480767,,—¡CUIDADO CON EL BESO! —¿Cuál bes...,302081845355495425,Bilieve U-kiss♥,Unas de las primeras cosas qe me hace feliz :D es qe esfuerces por ser un buen amiw@,El salvador,1369,87,281,GabrielithaF,http://a0.twimg.com/profile_images/3230978711/fdb16a9d7b4e440bbfa8a255807c0777_normal.jpeg,es,Alaska,-32400,374257434,374257434,"Fri, 16 Sep 2011 00:22:59 +0000","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",1722,"Thu, 14 Feb 2013 15:48:19 +0000",301009683974610944,Sarcasmos!,"Síguenos, y llena tu TL de los mejores sarcasmos de todo twitter ,retweet si te indentificas. ♥",42876,2009019,44,frasedesarcasmo,http://a0.twimg.com/profile_images/3216144619/fd4821b9aa34f5be2fe7a4d5317600eb_normal.gif,en,Caracas,-16200,6763,189534066,189534066,"Sat, 11 Sep 2010 14:46:05 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","Mon, 11 Feb 2013 16:47:55 +0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://antiyou.org,,true,,,,,,,,,,,,,,,,,,,,
3,web,B'gon,B'gon ,4532077,http://a0.twimg.com/profile_images/581228381/image_normal.jpg,http://twitter.com/b'gon,twitter,"Thu, 14 Feb 2013 15:48:19 +0000","RT @LFC: LFC team v Zenit: Reina, Johnson, Enrique, Carragher, Skrtel, Allen, Henderson, Gerrard, Sterling, Downing, Suarez.",82143155112,http://twitter.com/b'gon/statuses/82143155112,42,fr,62,,,,,,,,0,,,,82143155112,,,,,,,,,,,,,,,,,,,Blackraazer,7714011,13125314703,,"LFC team v Zenit: Reina, Johnson, Enrique, Carragher, Skrtel, Allen, Henderson, Gerrard, Sterling, Downing, Suarez.",302081846014013440,Sy▲hIR ツ," Football is my life,bowling is my soul #LFC #YNWA ","Shah Alam,Malaysia",9065,196,398,syahir0303,http://a0.twimg.com/profile_images/3108044968/c383ca7843a545fd68065f08ff2b8d72_normal.jpeg,en,Kuala Lumpur,28800,237158816,237158816,"Wed, 12 Jan 2011 06:13:23 +0000",web,752,"Thu, 14 Feb 2013 15:48:19 +0000",302080839288750081,Liverpool FC ,Official LFC account. Follow @OfficialLFC_ID @ThaiLFC @LFCANZ @LFCBrasil @LFCEspanol @LFC_Arabic @LFCIndia @LFCFrance @TurkeyLFC  @LFCBangladesh,21749,1511801,409073,LFC,http://a0.twimg.com/profile_images/1847862599/Grad_LFC_Crest_twitter_normal.jpg,en,,,11364,19583545,19583545,"Tue, 27 Jan 2009 09:05:21 +0000",web,"Thu, 14 Feb 2013 15:44:19 +0000",Reina,Person,Person,0,0,1,1,Johnson,Person,Person,0,0,1,1,Enrique,Person,Person,0,0,1,1,Carragher,Person,Person,0,0,1,1,Skrtel,Person,Person,0,0,1,1,Allen,Person,Person,0,0,1,1,Henderson,Person,Person,0,0,1,1,Gerrard,Person,Person,0,0,1,1,Sterling,Person,Person,0,0,1,1,Downing,Person,Person,0,0,1,1,Suarez,Person,Person,0,0,1,1,,,,,http://www.liverpoolfc.com/,"Anfield, Liverpool",true,true,1,true,,,,,,,,,,,,,,,,,
