interaction/schema/version,interaction/source,interaction/author/username,interaction/author/name,interaction/author/id,interaction/author/avatar,interaction/author/link,interaction/type,interaction/created_at,interaction/content,interaction/id,interaction/link,klout/score,language/tag,language/confidence,links/code/0,links/created_at/0,links/normalized_url/0,links/retweet_count/0,links/title/0,links/url/0,twitter/id,twitter/retweet/text,twitter/retweet/id,twitter/retweet/user/name,twitter/retweet/user/description,twitter/retweet/user/location,twitter/retweet/user/statuses_count,twitter/retweet/user/followers_count,twitter/retweet/user/friends_count,twitter/retweet/user/screen_name,twitter/retweet/user/profile_image_url,twitter/retweet/user/lang,twitter/retweet/user/time_zone,twitter/retweet/user/utc_offset,twitter/retweet/user/listed_count,twitter/retweet/user/id,twitter/retweet/user/id_str,twitter/retweet/user/geo_enabled,twitter/retweet/user/created_at,twitter/retweet/source,twitter/retweet/count,twitter/retweet/created_at,twitter/retweet/links/0,twitter/retweet/domains/0,twitter/retweeted/id,twitter/retweeted/user/name,twitter/retweeted/user/url,twitter/retweeted/user/description,twitter/retweeted/user/statuses_count,twitter/retweeted/user/followers_count,twitter/retweeted/user/friends_count,twitter/retweeted/user/screen_name,twitter/retweeted/user/profile_image_url,twitter/retweeted/user/lang,twitter/retweeted/user/time_zone,twitter/retweeted/user/utc_offset,twitter/retweeted/user/listed_count,twitter/retweeted/user/id,twitter/retweeted/user/id_str,twitter/retweeted/user/created_at,twitter/retweeted/source,twitter/retweeted/created_at,twitter/in_reply_to_screen_name,twitter/in_reply_to_user_id,twitter/in_reply_to_status_id,salience/content/entities/0/name,salience/content/entities/0/type,salience/content/entities/0/label,salience/content/entities/0/sentiment,salience/content/entities/0/evidence,salience/content/entities/0/confident,salience/content/entities/0/about,salience/content/entities/0/themes/0,salience/content/entities/1/name,salience/content/entities/1/type,salience/content/entities/1/label,salience/content/entities/1/sentiment,salience/content/entities/1/evidence,salience/content/entities/1/confident,salience/content/entities/1/about,salience/content/entities/1/themes/0,salience/content/sentiment,twitter/created_at,twitter/source,twitter/text,twitter/user/name,twitter/user/url,twitter/user/description,twitter/user/location,twitter/user/statuses_count,twitter/user/followers_count,twitter/user/friends_count,twitter/user/screen_name,twitter/user/profile_image_url,twitter/user/lang,twitter/user/time_zone,twitter/user/utc_offset,twitter/user/listed_count,twitter/user/id,twitter/user/id_str,twitter/user/geo_enabled,twitter/user/created_at,demographic/gender,twitter/mention_ids/0,twitter/mentions/0,links/hops/0/0,links/hops/0/1,twitter/domains/0,twitter/links/0,salience/content/entities/0/themes/1,salience/content/entities/0/themes/2,twitter/hashtags/0,salience/content/entities/2/name,salience/content/entities/2/type,salience/content/entities/2/label,salience/content/entities/2/sentiment,salience/content/entities/2/evidence,salience/content/entities/2/confident,salience/content/entities/2/about,salience/content/entities/3/name,salience/content/entities/3/type,salience/content/entities/3/label,salience/content/entities/3/sentiment,salience/content/entities/3/evidence,salience/content/entities/3/confident,salience/content/entities/3/about,salience/content/entities/4/name,salience/content/entities/4/type,salience/content/entities/4/label,salience/content/entities/4/sentiment,salience/content/entities/4/evidence,salience/content/entities/4/confident,salience/content/entities/4/about,salience/content/entities/5/name,salience/content/entities/5/type,salience/content/entities/5/label,salience/content/entities/5/sentiment,salience/content/entities/5/evidence,salience/content/entities/5/confident,salience/content/entities/5/about,salience/content/entities/6/name,salience/content/entities/6/type,salience/content/entities/6/label,salience/content/entities/6/sentiment,salience/content/entities/6/evidence,salience/content/entities/6/confident,salience/content/entities/6/about,salience/content/entities/7/name,salience/content/entities/7/type,salience/content/entities/7/label,salience/content/entities/7/sentiment,salience/content/entities/7/evidence,salience/content/entities/7/confident,salience/content/entities/7/about,salience/content/entities/8/name,salience/content/entities/8/type,salience/content/entities/8/label,salience/content/entities/8/sentiment,salience/content/entities/8/evidence,salience/content/entities/8/confident,salience/content/entities/8/about,salience/content/entities/9/name,salience/content/entities/9/type,salience/content/entities/9/label,salience/content/entities/9/sentiment,salience/content/entities/9/evidence,salience/content/entities/9/confident,salience/content/entities/9/about,salience/content/entities/10/name,salience/content/entities/10/type,salience/content/entities/10/label,salience/content/entities/10/sentiment,salience/content/entities/10/evidence,salience/content/entities/10/confident,salience/content/entities/10/about,twitter/retweeted/user/location,twitter/retweeted/user/geo_enabled,twitter/retweeted/user/verified,trends/type/0,trends/type/1,trends/type/2,trends/type/3,trends/type/4,trends/type/5,trends/type/6,trends/type/7,trends/type/8,trends/type/9,trends/type/10,trends/content/0,trends/source/0,twitter/retweet/hashtags/0,salience/content/entities/2/themes/0,salience/content/entities/3/themes/0,salience/content/entities/4/themes/0,twitter/retweet/user/url,twitter/retweet/mentions/0,twitter/retweet/mention_ids/0,links/hops/0/2
3,Twitter for Android,Peggy,Carter ,1212488,http://a0.twimg.com/profile_images/254958332/image_normal.jpg,http://twitter.com/peggy,twitter,"Thu, 14 Feb 2013 15:48:21 +0000","RT @apbankfes: [2013.02.14]ap bank fesについてのお知らせ  

詳しくはオフィシャルサイトにてご確認ください。 http://t.co/0jBImKc1",64106101240,http://twitter.com/peggy/statuses/64106101240,35,ja,85,200,"Thu, 14 Feb 2013 03:18:19 +0000",http://fes.apbank.jp,0,ap bank fes '12 Fund for Japan,http://fes.apbank.jp/,64106101240,"[2013.02.14]ap bank fesについてのお知らせ  

詳しくはオフィシャルサイトにてご確認ください。 http://t.co/0jBImKc1",302081854025117696,くるみ,"Mr.Children大好き★ツアーは必ず1回は行っています♪沖縄大好き★デジタル一眼レフに夢中(*^^*)写真を撮ることが楽しくて仕方ないｗそして素敵な出会いや友達が増えてとても充実していると感じるこの頃。
出逢った人達に感謝です！",Tokyo,3832,93,98,Qumi1999,http://a0.twimg.com/profile_images/2985246168/c8a02791c22a8ae41e838ef636ebcc89_normal.jpeg,ja,Tokyo,32400,1,261677015,261677015,true,"Sun, 06 Mar 2011 13:10:20 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1298,"Thu, 14 Feb 2013 15:48:21 +0000",http://fes.apbank.jp/,fes.apbank.jp,301898180268797953,ap bank,http://fes.apbank.jp/,ap bankは環境プロジェクトの支援や東日本大震災の復興支援などさまざまな活動を行っております。,622,42637,8,apbankfes,http://a0.twimg.com/profile_images/3251165433/e936c669d83d01395c75527cfd0f120a_normal.jpeg,ja,Tokyo,32400,1216,132414080,132414080,"Tue, 13 Apr 2010 04:59:49 +0000",web,"Thu, 14 Feb 2013 03:38:29 +0000",Dr.,39,82216633553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Twitter for Android,Ajax,Ajax ,2493868,http://a0.twimg.com/profile_images/388309217/image_normal.jpg,http://twitter.com/ajax,twitter,"Thu, 14 Feb 2013 15:48:21 +0000","We should make a ""Primus sucks"" joke about MLP. When someone says MLP sucks, only the real fans will get the joke.",45783479558,http://twitter.com/ajax/statuses/45783479558,43,en,100,,,,,,,45783479558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arcade,67412,18411494861,MLP,Company,Company,4,1,1,1,real fans,"""Primus sucks""",Quote,Quote,0,1,1,0,real fans,4,"Thu, 14 Feb 2013 15:48:21 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","We should make a ""Primus sucks"" joke about MLP. When someone says MLP sucks, only the real fans will get the joke.",Ajax ,http://ajax.com,,"Pennsylvania, USA",44451,1356,260,Ajax,http://a0.twimg.com/profile_images/388309217/image_normal.jpg,en,Eastern Time (US & Canada),-18000,23,2493868,2493868,true,"Mon, 20 Jun 2011 18:24:19 +0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,web,Blacktaloniii,Black Talon Iii ,3433746,http://a0.twimg.com/profile_images/689648398/image_normal.jpg,http://twitter.com/blacktaloniii,twitter,"Thu, 14 Feb 2013 15:48:22 +0000",@frederickfo @ @ iy msa td lari* gtt pas dsruh dnor ..haha,23895556572,http://twitter.com/blacktaloniii/statuses/23895556572,43,id,63,,,,,,,23895556572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frederickfo,5486760,47413707687,,,,,,,,,,,,,,,,,,"Thu, 14 Feb 2013 15:48:22 +0000",web,@frederickfo @ @ iy msa td lari* gtt pas dsruh dnor ..haha,Black Talon Iii ,http://blacktaloniii.com,,"cianjur, Jabar, Indonesia",3549,270,373,Blacktaloniii,http://a0.twimg.com/profile_images/689648398/image_normal.jpg,en,Jakarta,25200,,3433746,3433746,true,"Mon, 07 Jun 2010 05:23:05 +0000",mostly_male,5486760,frederickfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Twitter for BlackBerry®,Frank,Brown ,6657165,http://a0.twimg.com/profile_images/907524906/image_normal.jpg,http://twitter.com/frank,twitter,"Thu, 14 Feb 2013 15:48:21 +0000",Kok ada suara kotak musik nih :&amp;,61792998481,http://twitter.com/frank/statuses/61792998481,46,id,100,,,,,,,61792998481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Baronmacabre,1406599,17477611079,,,,,,,,,,,,,,,,,,"Thu, 14 Feb 2013 15:48:21 +0000","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>",Kok ada suara kotak musik nih :&amp;,Brown ,http://frank.com,,indonesia,8231,702,297,Frank,http://a0.twimg.com/profile_images/907524906/image_normal.jpg,en,Pacific Time (US & Canada),-28800,,6657165,6657165,true,"Wed, 17 Feb 2010 09:13:14 +0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Twitter for iPhone,Adversary,Adversary ,4634100,http://a0.twimg.com/profile_images/189494662/image_normal.jpg,http://twitter.com/adversary,twitter,"Thu, 14 Feb 2013 15:48:22 +0000",@billykitson Bri doesn't dance till Saturday! But ill be there all day! What time do you go on Saturday?!,73719235998,http://twitter.com/adversary/statuses/73719235998,40,en,100,,,,,,,73719235998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Billykitson,6832571,24605167936,,,,,,,,,,,,,,,,,-10,"Thu, 14 Feb 2013 15:48:22 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@billykitson Bri doesn't dance till Saturday! But ill be there all day! What time do you go on Saturday?!,Adversary ,http://adversary.com,,,3268,302,399,Adversary,http://a0.twimg.com/profile_images/189494662/image_normal.jpg,en,Mountain Time (US & Canada),-25200,,4634100,4634100,true,"Sun, 06 Feb 2011 19:33:09 +0000",female,6832571,billykitson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,twitterfeed,Ape,Ape ,4946938,http://a0.twimg.com/profile_images/961659401/image_normal.jpg,http://twitter.com/ape,twitter,"Thu, 14 Feb 2013 15:48:16 +0000",How Not unto Espouse Car Insurance adit Missouri: .YTv http://t.co/AOZVr2pC,26412862003,http://twitter.com/ape/statuses/26412862003,23,fr,61,200,"Thu, 14 Feb 2013 15:48:22 +0000",http://alvaro-drees.ru/page-120/716967,0,How Not to Choose Car Insurance in Missouri,http://alvaro-drees.ru/page-120/716967,26412862003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rebecca,6,39501557848,Missouri,Person,Person,0,0,1,1,,,,,,,,,,0,"Thu, 14 Feb 2013 15:48:16 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",How Not unto Espouse Car Insurance adit Missouri: .YTv http://t.co/AOZVr2pC,Ape ,http://ape.com,,,8382,31,9,Ape,http://a0.twimg.com/profile_images/961659401/image_normal.jpg,en,,,,4946938,4946938,,"Wed, 25 Jul 2012 07:45:39 +0000",,,,http://bit.ly/X7y1fF,http://alvaro-drees.ru/page-120/716967?utm_medium=twitter&utm_source=twitterfeed,bit.ly,http://bit.ly/X7y1fF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Facebook,Ayesha,Ayesha ,8500840,http://a0.twimg.com/profile_images/976229605/image_normal.jpg,http://twitter.com/ayesha,twitter,"Thu, 14 Feb 2013 15:48:20 +0000","Puede que penséis que el día de San Valentín es un mero invento mercantil, para tratar de vender mas a costa de... http://t.co/ATQ0PFzd",85380594967,http://twitter.com/ayesha/statuses/85380594967,13,es,62,200,"Thu, 14 Feb 2013 15:48:22 +0000",https://facebook.com/photo.php?fbid=571994412834323&l=d51160d325,0,Facebook,https://www.facebook.com/photo.php?fbid=571994412834323&l=d51160d325,85380594967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ainet,5202332,694625082,San Valentín,Place,Place,-8,0,1,1,día de san,,,,,,,,,-7,"Thu, 14 Feb 2013 15:48:20 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Puede que penséis que el día de San Valentín es un mero invento mercantil, para tratar de vender mas a costa de... http://t.co/ATQ0PFzd",Ayesha ,http://ayesha.com,,Jerez de la Frontera (Cádiz),127,11,14,Ayesha,http://a0.twimg.com/profile_images/976229605/image_normal.jpg,es,Madrid,3600,,8500840,8500840,true,"Wed, 30 May 2012 15:32:46 +0000",,,,http://fb.me/2w3TSum0P,,fb.me,http://fb.me/2w3TSum0P,mas a costa,mero invento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,dlvr.it,Dennis,Bowden ,5893352,http://a0.twimg.com/profile_images/319917621/image_normal.jpg,http://twitter.com/dennis,twitter,"Thu, 14 Feb 2013 15:48:19 +0000","Blue Man Group: Thu, Feb 14 2013 8:00 PM Astor Place Theatre in New_York Event Details: Blue Man Group is a... http://t.co/Q1baDdya #NewYork",2,http://twitter.com/dennis/statuses/2,21,en,62,200,"Thu, 14 Feb 2013 15:48:22 +0000",http://thingstodoinnewyorkcityny.com/details-E0-001-053390220-5@2013021420/Blue_Man_Group_New_York,0,"Blue Man Group | New York | Astor Place Theatre | on Feb 14, 2013 8:00 PM",http://www.thingstodoinnewyorkcityny.com/details-E0-001-053390220-5@2013021420/Blue_Man_Group_New_York/,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jonathan,19099,11028503207,,,,,,,,,,,,,,,,,0,"Thu, 14 Feb 2013 15:48:19 +0000","<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","Blue Man Group: Thu, Feb 14 2013 8:00 PM Astor Place Theatre in New_York Event Details: Blue Man Group is a... http://t.co/Q1baDdya #NewYork",Bowden ,http://dennis.com,,"New York City, NY",2536,69,36,Dennis,http://a0.twimg.com/profile_images/319917621/image_normal.jpg,en,Quito,-18000,2,5893352,5893352,,"Sat, 15 Jan 2011 19:22:20 +0000",male,,,http://goo.gl/6soO8,http://www.thingstodoinnewyorkcityny.com/details-E0-001-053390220-5@2013021420/Blue_Man_Group_New_York/?utm_source=dlvr.it&utm_medium=twitter,goo.gl,http://goo.gl/6soO8,,,NewYork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,web,Absorbingman,Absorbing Man ,2427921,http://a0.twimg.com/profile_images/865968821/image_normal.jpg,http://twitter.com/absorbingman,twitter,"Thu, 14 Feb 2013 15:48:22 +0000",@james Yah skrg gue gapunya uit ka-__- td udah dibeliin pelmen :p,30306247877,http://twitter.com/absorbingman/statuses/30306247877,41,id,100,,,,,,,30306247877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,James,3289526,35378861776,,,,,,,,,,,,,,,,,,"Thu, 14 Feb 2013 15:48:22 +0000",web,@james Yah skrg gue gapunya uit ka-__- td udah dibeliin pelmen :p,Absorbing Man ,http://absorbingman.com,,,674,102,212,Absorbingman,http://a0.twimg.com/profile_images/865968821/image_normal.jpg,en,Athens,7200,,2427921,2427921,,"Mon, 12 Mar 2012 18:21:49 +0000",male,3289526,james,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Twitter for BlackBerry®,Bonnie,Bliss ,6330050,http://a0.twimg.com/profile_images/0/image_normal.jpg,http://twitter.com/bonnie,twitter,"Thu, 14 Feb 2013 15:48:22 +0000",@boone arsitek sibuk sih:( kgn dibully dan dipeluk ridha haha trus td aku lewatin sg loh:(,84042502683,http://twitter.com/bonnie/statuses/84042502683,40,ms,100,,,,,,,84042502683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boone,2544115,64130077348,,,,,,,,,,,,,,,,,,"Thu, 14 Feb 2013 15:48:22 +0000","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>",@boone arsitek sibuk sih:( kgn dibully dan dipeluk ridha haha trus td aku lewatin sg loh:(,Bliss ,http://bonnie.com,,Jakarta - Semarang,1112,266,158,Bonnie,http://a0.twimg.com/profile_images/0/image_normal.jpg,en,Jakarta,25200,,6330050,6330050,,"Mon, 08 Jun 2009 06:20:36 +0000",female,2544115,boone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
